CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex
29285	29655	-28.027	0	0.800199	0.645239	1
13228	13439	-0.00799561	0	0.763689	0.728132	1
16264	16519	-0.053009	0	0.935619	0.691153	1
15417	16049	-0.0180054	0	0.974457	0.970312	1
18704	19169	-0.0219879	0	0.931218	0.85484	1
25415	30493	-262.116	0	0.572854	0.403987	1
21758	26318	-61.038	0	0.763337	0.433708	1
13263	13303	-0.00698853	0	0.939577	0.895994	1
12776	12917	-0.00999451	0	0.798482	0.628004	1
28421	28947	-29.993	0	0.727308	0.479595	1
14065	18440	-12.985	0	0.649381	0.441103	1
24554	24693	-0.0110016	0	0.704238	0.641235	1
1423	2065	-0.0180054	0	0.93011	0.853164	1
18699	18797	0.00299072	0	0.889628	0.852622	1
13247	13426	-0.0160065	0	0.949588	0.873931	1
27998	30575	-212.074	0	0.787278	0.469045	1
13248	13564	-0.0350037	0	0.902387	0.770789	1
13187	13831	-0.0559998	0	0.888353	0.712586	1
10525	14187	-14.012	0	0.701134	0.400646	1
30634	30870	-163.097	0	0.79917	0.683153	1
8758	8970	-0.00299835	0	0.884548	0.68548	1
11726	11914	-0.00700378	0	0.942338	0.793943	1
16309	16589	-0.00900269	0	0.962318	0.80292	1
23244	24261	-18.017	0	0.581893	0.520293	1
26948	26955	-0.00799561	0	0.616454	0.627575	1
21075	21173	0.00500488	0	0.637377	0.553679	1
8770	8792	0.00400543	0	0.961503	0.789414	1
29524	30793	-233.108	0	0.722938	0.555174	1
18697	18702	0.026001	0	0.789755	0.67082	1
12466	12747	-0.0740051	0	0.817357	0.680086	1
13262	22524	-45.021	0	0.870824	0.699828	1
22422	22446	0.0100098	0	0.632385	0.706464	1
17249	20866	-14.038	0	0.674901	0.443963	1
15347	15350	-0.00799561	0	0.635573	0.605646	1
18710	19077	0.0100098	0	0.849009	0.757513	1
38	18120	-66.96	0	0.672416	0.426065	1
20932	23578	-28.039	0	0.759234	0.634877	1
20378	20469	-0.00999451	0	0.90652	0.639511	1
30265	30726	-116.084	0	0.939418	0.678276	1
4776	4780	-0.0130005	0	0.767208	0.67598	1
19533	19704	-0.00500488	0	0.72192	0.468569	1
11538	11539	0.0309982	0	0.987278	0.889187	1
28748	29044	-17.042	0	0.772785	0.645108	1
